report_0,frequency,count
Sinus rhythm,0.39658014961845417,317278
Sinus tachycardia,0.05065778372196216,40528
Sinus rhythm with PAC(s).,0.0030261176073546783,2421
Sinus bradycardia,0.0736517777347241,58924
Sinus bradycardia with interpolated PVC(s),0.00015874305499134414,127
Sinus bradycardia.,0.014165630253676401,11333
*** CONSIDER ACUTE ST ELEVATION MI ***,0.010644534301624304,8516
SINUS RHYTHM,0.006083483847581669,4867
Sinus rhythm with PVC(s) with borderline 1st degree A-V block,0.000517477360365484,414
Sinus rhythm.,0.07467048316636148,59739
Atrial fibrillation with PVC(s) or aberrant ventricular conduction.,0.0005949739698888173,476
Sinus rhythm with PVC(s),0.00626597586355597,5013
Sinus bradycardia with sinus arrhythmia,0.004702294274625485,3762
Sinus rhythm with PVC(s).,0.001816170542538764,1453
Atrial fibrillation.,0.010615785559381778,8493
Probable atrial fibrillation with PVC(s) or aberrant ventricular conduction.,0.00014624360184241938,117
Sinus rhythm with PAC(s),0.0101470560662971,8118
Sinus arrhythmia,0.013864393432787316,11092
Sinus rhythm with PVCs.,0.0013461911041391939,1077
Sinus rhythm with aberrantly conducted supraventricular complexes,0.0006774703606717206,542
Sinus rhythm with borderline 1st degree A-V block,0.01497809470835651,11983
Sinus bradycardia with borderline 1st degree A-V block,0.005884742542513765,4708
"Unknown rhythm, irregular rate",0.00021249070353172048,170
Sinus rhythm with PACs.,0.0019411650740280113,1553
Sinus rhythm with PVCs,0.0021874043010618287,1750
Sinus bradycardia with PVC(s),0.0008887111188885487,711
Sinus bradycardia with PAC(s).,0.000681220196616398,545
Sinus tachycardia with PAC(s).,0.0009562081658927422,765
Atrial fibrillation with slow ventricular response,0.005593505284143819,4475
Atrial fibrillation,0.03994950220927834,31961
Sinus bradycardia with PACs,0.0005549757198122582,444
Possible ectopic atrial rhythm,0.005848494128381883,4679
Irregular ectopic atrial rhythm,0.0003674839225783872,294
Possible ectopic atrial bradycardia.,0.0005524758291824733,442
Probable ventricular tachycardia,9.124600798715056e-05,73
Sinus rhythm with PACs,0.0031536120294737104,2523
Possible ectopic atrial bradycardia,0.0022299024417681726,1784
Atrial fibrillation with PVC(s),0.0018061709800196242,1445
Sinus arrhythmia.,0.003092364709043979,2474
Possible ectopic atrial rhythm with PAC(s),0.00035373452411456997,283
Sinus rhythm with PVC(s) with PAC(s),0.0009499584393182799,760
Sinus rhythm with occasional PACs,0.0001262444768041398,101
Wide QRS tachycardia.,9.624578924672045e-05,77
Atrial fibrillation with PVCs.,0.0005337266494590861,427
Atrial fibrillation with rapid ventricular response.,0.007295930803027368,5837
"Sinus rhythm with 2nd degree A-V block, Mobitz I (Wenckebach).",8.49962814126882e-05,68
Accelerated idioventricular rhythm,0.002173654902598011,1739
Ectopic atrial rhythm,0.0006887198685057528,551
Atrial flutter,0.0016099295655815059,1288
Possible ectopic atrial rhythm.,0.0016911760110495165,1353
"Age not entered, assumed to be  50 years old for purpose of ECG interpretation",0.006224727668164518,4980
Junctional rhythm,0.0003762335397826345,301
Accelerated junctional rhythm,0.00023998950045935492,192
Sinus rhythm with PVCs with borderline 1st degree A-V block,0.00018999168786365596,152
Sinus arrhythmia with PVCs.,0.00018999168786365596,152
Ventricular pacing.,0.0023748960982956997,1900
Demand pacing,0.0029948689744823663,2396
Sinus tachycardia.,0.016564275312955058,13252
Sinus rhythm with borderline 1st degree A-V block.,0.004306061609804571,3445
--- Warning: Data quality may affect interpretation ---,0.00884836288412382,7079
Sinus tachycardia with sinus arrhythmia,0.0009287093689651078,743
Sinus tachycardia with PACs.,0.0008462129781822046,677
Sinus tachycardia with sinus arrhythmia with multifocal PVCs.,1.9999125038279575e-05,16
Atrial fibrillation with PVC(s) or aberrant ventricular conduction,0.0014986844325560757,1199
Sinus bradycardia with sinus arrhythmia with PVC(s),0.00017624228939983877,141
Sinus rhythm with 1st degree A-V block,0.013991887854906349,11194
Sinus arrhythmia with borderline 1st degree A-V block,0.0007474672983056991,598
Sinus rhythm with PVC(s) with borderline 1st degree A-V block.,0.0001937415238083334,155
Atrial fibrillation with uncontrolled ventricular response.,0.0006674707981525808,534
SINUS BRADYCARDIA,0.0009712075096714518,777
Atrial flutter with PVC(s),2.624885161274194e-05,21
Probable accelerated junctional rhythm.,0.0009937065253395165,795
Probable accelerated junctional rhythm,0.0015924303311730113,1274
Atrial fibrillation with frequent multifocal PVCs or aberrant ventricular conduction,0.00023623966451467748,189
Atrial fibrillation with rapid ventricular response,0.01115326204478554,8923
Atrial fibrillation with rapid ventricular response with multifocal PVCs or aberrant ventricular conduction,0.00014624360184241938,117
Atrial fibrillation with rapid ventricular response with PVC(s),0.0007449674076759142,596
Atrial fibrillation with uncontrolled ventricular response,0.0007687163686588711,615
Irregular sinus bradycardia,0.0005137275244208065,411
Sinus rhythm with PVCs with PACs with borderline 1st degree A-V block,1.8749179723387102e-05,15
Sinus bradycardia with 1st degree A-V block,0.006080983956951883,4865
Sinus bradycardia with sinus arrhythmia with 1st degree A-V block.,0.0001412438205828495,113
Atrial fibrillation with slow ventricular response.,0.002048660371108764,1639
Sinus bradycardia with PAC(s) with 1st degree A-V block,0.00034623485222521515,277
Atrial flutter with 4:1 A-V block,0.0003012368208890861,241
Sinus bradycardia with PAC(s) with borderline 1st degree A-V block.,7.374677357865593e-05,59
Sinus bradycardia with sinus arrhythmia with borderline 1st degree A-V block,0.00043123113363790333,345
Sinus bradycardia with sinus arrhythmia with PACs with borderline 1st degree A-V block,3.7498359446774206e-06,3
Probable atrial fibrillation with slow ventricular response,8.124644546801077e-05,65
Incomplete analysis due to missing data in precordial lead(s),8.624622672758067e-05,69
Probable sinus tachycardia,0.0011761985413138176,941
Dual chamber pacemaker,0.00023498971919978502,188
A-V sequential pacemaker,0.0025498884423806457,2040
Demand pacing.,0.0011674489241095703,934
A-V sequential pacemaker.,0.0005662252276462904,453
Ventricular pacing,0.00818089208597124,6545
Possible atrial flutter with rapid ventricular response,0.0015236833388539252,1219
Possible ectopic atrial tachycardia,0.0003112363834082259,249
Possible ectopic atrial tachycardia.,0.00022249026605086026,178
Sinus rhythm with multifocal PVCs,0.0003899829382464517,312
Marked sinus bradycardia,0.00046747954776978507,374
Possible atrial flutter with rapid ventricular response.,0.0011287006193479035,903
Sinus tachycardia with frequent PACs,9.87456798765054e-05,79
Possible atrial flutter with PVC(s) or aberrant ventricular conduction.,7.499671889354841e-05,60
Slow sinus arrhythmia,0.00013499409400838714,108
